program, dataset, iteration, time
kmeans_seq, kmeans_10000.txt, 1, 0.077539
kmeans_seq, kmeans_10000.txt, 2, 0.074086
kmeans_seq, kmeans_10000.txt, 3, 0.101857
kmeans_seq, kmeans_10000.txt, 4, 0.064126
kmeans_seq, kmeans_10000.txt, 5, 0.147441
kmeans_seq, kmeans_100000.txt, 1, 1.048681
kmeans_seq, kmeans_100000.txt, 2, 1.813467
kmeans_seq, kmeans_100000.txt, 3, 1.497998
kmeans_seq, kmeans_100000.txt, 4, 1.168781
kmeans_seq, kmeans_100000.txt, 5, 0.665900
kmeans_seq, kmeans_1000000.txt, 1, 25.695514
kmeans_seq, kmeans_1000000.txt, 2, 22.806495
kmeans_seq, kmeans_1000000.txt, 3, 13.066072
kmeans_seq, kmeans_1000000.txt, 4, 12.954749
kmeans_seq, kmeans_1000000.txt, 5, 21.999302
kmeans_seq, kmeans_5000000.txt, 1, 74.831526
kmeans_seq, kmeans_5000000.txt, 2, 122.009694
kmeans_seq, kmeans_5000000.txt, 3, 108.484730
kmeans_seq, kmeans_5000000.txt, 4, 92.749387
kmeans_seq, kmeans_5000000.txt, 5, 69.082412
kmeans_seq, kmeans_10000000.txt, 1, 122.223752
kmeans_seq, kmeans_10000000.txt, 2, 198.903713
kmeans_seq, kmeans_10000000.txt, 3, 193.409394
kmeans_seq, kmeans_10000000.txt, 4, 162.069724
kmeans_seq, kmeans_10000000.txt, 5, 135.434792
kmeans_cuda, kmeans_10000.txt, 1, 0.615982
kmeans_cuda, kmeans_10000.txt, 2, 0.273180
kmeans_cuda, kmeans_10000.txt, 3, 0.251104
kmeans_cuda, kmeans_10000.txt, 4, 0.282564
kmeans_cuda, kmeans_10000.txt, 5, 0.242737
kmeans_cuda, kmeans_100000.txt, 1, 0.270459
kmeans_cuda, kmeans_100000.txt, 2, 0.203054
kmeans_cuda, kmeans_100000.txt, 3, 0.284807
kmeans_cuda, kmeans_100000.txt, 4, 0.337997
kmeans_cuda, kmeans_100000.txt, 5, 0.252619
kmeans_cuda, kmeans_1000000.txt, 1, 0.469009
kmeans_cuda, kmeans_1000000.txt, 2, 0.385140
kmeans_cuda, kmeans_1000000.txt, 3, 3.150591
kmeans_cuda, kmeans_1000000.txt, 4, 0.526294
kmeans_cuda, kmeans_1000000.txt, 5, 6.523564
kmeans_cuda, kmeans_5000000.txt, 1, 9.432029
kmeans_cuda, kmeans_5000000.txt, 2, 16.715236
kmeans_cuda, kmeans_5000000.txt, 3, 5.553699
kmeans_cuda, kmeans_5000000.txt, 4, 20.245511
kmeans_cuda, kmeans_5000000.txt, 5, 14.799347
kmeans_cuda, kmeans_10000000.txt, 1, 18.540615
kmeans_cuda, kmeans_10000000.txt, 2, 35.380978
kmeans_cuda, kmeans_10000000.txt, 3, 10.388133
kmeans_cuda, kmeans_10000000.txt, 4, 39.149960
kmeans_cuda, kmeans_10000000.txt, 5, 45.114392
kmeans_openmp, kmeans_10000.txt, 1, 1.201176
kmeans_openmp, kmeans_10000.txt, 2, 1.026678
kmeans_openmp, kmeans_10000.txt, 3, 1.172391
kmeans_openmp, kmeans_10000.txt, 4, 1.136896
kmeans_openmp, kmeans_10000.txt, 5, 1.195606
kmeans_openmp, kmeans_100000.txt, 1, 21.173945
kmeans_openmp, kmeans_100000.txt, 2, 36.478854
kmeans_openmp, kmeans_100000.txt, 3, 10.052693
kmeans_openmp, kmeans_100000.txt, 4, 13.682000
kmeans_openmp, kmeans_100000.txt, 5, 15.086930
kmeans_openmp, kmeans_1000000.txt, 1, 221.566813
kmeans_openmp, kmeans_1000000.txt, 2, 201.766757
kmeans_openmp, kmeans_1000000.txt, 3, 157.612271
kmeans_openmp, kmeans_1000000.txt, 4, 302.246494
kmeans_openmp, kmeans_1000000.txt, 5, 125.393062
kmeans_openmp, kmeans_5000000.txt, 1, 1211.849566
kmeans_openmp, kmeans_5000000.txt, 2, 1181.279042
kmeans_openmp, kmeans_5000000.txt, 3, 896.374993
kmeans_openmp, kmeans_5000000.txt, 4, 1004.560399
kmeans_openmp, kmeans_5000000.txt, 5, 1342.926962
kmeans_openmp, kmeans_10000000.txt, 1, 2417.054699
kmeans_openmp, kmeans_10000000.txt, 2, 2711.739433
kmeans_openmp, kmeans_10000000.txt, 3, 1998.873647
kmeans_openmp, kmeans_10000000.txt, 4, 2815.751647
kmeans_openmp, kmeans_10000000.txt, 5, 2408.868933
bfs_seq, graph_g1000_s100.txt, 1, 0.321591
bfs_seq, graph_g1000_s100.txt, 2, 0.240212
bfs_seq, graph_g1000_s100.txt, 3, 0.240152
bfs_seq, graph_g1000_s100.txt, 4, 0.239966
bfs_seq, graph_g1000_s100.txt, 5, 0.239739
bfs_seq, graph_g2000_s100.txt, 1, 0.913885
bfs_seq, graph_g2000_s100.txt, 2, 0.966405
bfs_seq, graph_g2000_s100.txt, 3, 0.965543
bfs_seq, graph_g2000_s100.txt, 4, 0.969780
bfs_seq, graph_g2000_s100.txt, 5, 1.062817
bfs_seq, graph_g4000_s100.txt, 1, 3.676341
bfs_seq, graph_g4000_s100.txt, 2, 3.599552
bfs_seq, graph_g4000_s100.txt, 3, 3.600055
bfs_seq, graph_g4000_s100.txt, 4, 3.602718
bfs_seq, graph_g4000_s100.txt, 5, 3.601858
bfs_seq, graph_g8000_s100.txt, 1, 13.444764
bfs_seq, graph_g8000_s100.txt, 2, 13.402256
bfs_seq, graph_g8000_s100.txt, 3, 13.622426
bfs_seq, graph_g8000_s100.txt, 4, 13.624915
bfs_seq, graph_g8000_s100.txt, 5, 13.622871
bfs_seq, graph_g16000_s100.txt, 1, 55.327781
bfs_seq, graph_g16000_s100.txt, 2, 55.877852
bfs_seq, graph_g16000_s100.txt, 3, 58.397653
bfs_seq, graph_g16000_s100.txt, 4, 59.127613
bfs_seq, graph_g16000_s100.txt, 5, 55.118502
bfs_cuda, graph_g1000_s100.txt, 1, 0.577561
bfs_cuda, graph_g1000_s100.txt, 2, 0.393798
bfs_cuda, graph_g1000_s100.txt, 3, 0.363758
bfs_cuda, graph_g1000_s100.txt, 4, 0.374770
bfs_cuda, graph_g1000_s100.txt, 5, 0.355172
bfs_cuda, graph_g2000_s100.txt, 1, 0.675401
bfs_cuda, graph_g2000_s100.txt, 2, 0.582993
