program,dataset,mem
kmeans_cuda,kmeans_10000.txt,303MiB
kmeans_cuda,kmeans_100000.txt,305MiB
kmeans_cuda,kmeans_1000000.txt,321MiB
kmeans_cuda,kmeans_5000000.txt,383MiB
kmeans_cuda,kmeans_10000000.txt,461MiB
kmeans_openmp,kmeans_10000.txt,633MiB
kmeans_openmp,kmeans_100000.txt,633MiB
kmeans_openmp,kmeans_1000000.txt,647MiB
kmeans_openmp,kmeans_5000000.txt,709MiB
kmeans_openmp,kmeans_10000000.txt,785MiB
bfs_cuda,graph_g1000_s100.txt,305MiB
bfs_cuda,graph_g2000_s100.txt,309MiB
bfs_cuda,graph_g4000_s100.txt,321MiB
bfs_cuda,graph_g8000_s100.txt,367MiB
bfs_cuda,graph_g16000_s100.txt,551MiB
bfs_openmp,graph_g1000_s100.txt,633MiB
bfs_openmp,graph_g2000_s100.txt,635MiB
bfs_openmp,graph_g4000_s100.txt,647MiB
bfs_openmp,graph_g8000_s100.txt,693MiB
bfs_openmp,graph_g16000_s100.txt,877MiB
nqueens_cuda,6,303MiB
nqueens_cuda,7,303MiB
nqueens_cuda,8,303MiB
nqueens_cuda,9,303MiB
nqueens_cuda,10,303MiB
nqueens_openmp,6,303MiB
nqueens_openmp,7,379Mi1B
nqueens_openmp,8,633MiB
nqueens_openmp,9,633MiB
nqueens_openmp,10,633MiB
warshall_cuda,inputfile500.txt,305MiB
warshall_cuda,inputfile1000.txt,311MiB
warshall_cuda,inputfile2000.txt,335MiB
warshall_cuda,inputfile4000.txt,427MiB
warshall_cuda,inputfile8000.txt,793MiB
warshall_openmp,inputfile500.txt,633MiB
warshall_openmp,inputfile1000.txt,639MiB
warshall_openmp,inputfile2000.txt,663MiB
warshall_openmp,inputfile4000.txt,755MiB
warshall_openmp,inputfile8000.txt,1121MiB
